T_number	org_code	name	lineage	taxaid	gb_ncbi_seq_id	rs_ncbi_seq_ids
T07891	dsp	Dipodomys spectabilis (banner-tailed kangaroo rat)	Eukaryotes;Animals;Vertebrates;Mammals	105255	[]	[]
T03373	ocu	Oryctolagus cuniculus (rabbit)	Eukaryotes;Animals;Vertebrates;Mammals	9986	[]	[]
T07609	opi	Ochotona princeps (American pika)	Eukaryotes;Animals;Vertebrates;Mammals	9978	[]	[]
T02978	tup	Tupaia chinensis (Chinese tree shrew)	Eukaryotes;Animals;Vertebrates;Mammals	246437	[]	[]
T01007	cfa	Canis lupus familiaris (dog)	Eukaryotes;Animals;Vertebrates;Mammals	9615	[]	[]
T05911	vvp	Vulpes vulpes (red fox)	Eukaryotes;Animals;Vertebrates;Mammals	9627	[]	[]
T07435	vlg	Vulpes lagopus (Arctic fox)	Eukaryotes;Animals;Vertebrates;Mammals	494514	[]	[]
T01329	aml	Ailuropoda melanoleuca (giant panda)	Eukaryotes;Animals;Vertebrates;Mammals	9646	[]	[]
T03271	umr	Ursus maritimus (polar bear)	Eukaryotes;Animals;Vertebrates;Mammals	29073	[]	[]
T05909	uah	Ursus arctos horribilis	Eukaryotes;Animals;Vertebrates;Mammals	116960	[]	[]
T07931	uar	Ursus americanus (American black bear)	Eukaryotes;Animals;Vertebrates;Mammals	9643	[]	[]
T05148	oro	Odobenus rosmarus divergens (Pacific walrus)	Eukaryotes;Animals;Vertebrates;Mammals	9708	[]	[]
T05871	elk	Enhydra lutris kenyoni (northern sea otter)	Eukaryotes;Animals;Vertebrates;Mammals	391180	[]	[]
T07239	mpuf	Mustela putorius furo (domestic ferret)	Eukaryotes;Animals;Vertebrates;Mammals	9669	[]	[]
T07240	eju	Eumetopias jubatus (Steller sea lion)	Eukaryotes;Animals;Vertebrates;Mammals	34886	[]	[]
T07874	zca	Zalophus californianus (California sea lion)	Eukaryotes;Animals;Vertebrates;Mammals	9704	[]	[]
T07472	mlx	Mirounga leonina (Southern elephant seal)	Eukaryotes;Animals;Vertebrates;Mammals	9715	[]	[]
T02385	fca	Felis catus (domestic cat)	Eukaryotes;Animals;Vertebrates;Mammals	9685	[]	[]
T07555	pyu	Puma yagouaroundi (jaguarundi)	Eukaryotes;Animals;Vertebrates;Mammals	1608482	[]	[]
T07574	pbg	Prionailurus bengalensis (leopard cat)	Eukaryotes;Animals;Vertebrates;Mammals	37029	[]	['NC_057343', 'NC_057344', 'NC_057345', 'NC_057346', 'NC_057347', 'NC_057348', 'NC_057349', 'NC_057350', 'NC_057351', 'NC_057352', 'NC_057353', 'NC_057354', 'NC_057355', 'NC_057356', 'NC_057357', 'NC_057358', 'NC_057359', 'NC_057360', 'NC_057361', 'NC_028301']
T02988	ptg	Panthera tigris altaica (Amur tiger)	Eukaryotes;Animals;Vertebrates;Mammals	74533	[]	[]
T06062	ppad	Panthera pardus (leopard)	Eukaryotes;Animals;Vertebrates;Mammals	9691	[]	[]
T04657	aju	Acinonyx jubatus (cheetah)	Eukaryotes;Animals;Vertebrates;Mammals	32536	[]	[]
T07257	hhv	Hyaena hyaena (striped hyena)	Eukaryotes;Animals;Vertebrates;Mammals	95912	[]	[]
T01008	bta	Bos taurus (cow)	Eukaryotes;Animals;Vertebrates;Mammals	9913	[]	[]
T02919	bom	Bos mutus (wild yak)	Eukaryotes;Animals;Vertebrates;Mammals	72004	[]	[]
T04792	biu	Bos indicus (zebu cattle)	Eukaryotes;Animals;Vertebrates;Mammals	9915	[]	[]
T05912	bbub	Bubalus bubalis (water buffalo)	Eukaryotes;Animals;Vertebrates;Mammals	89462	[]	[]
T02910	chx	Capra hircus (goat)	Eukaryotes;Animals;Vertebrates;Mammals	9925	[]	[]
T03117	oas	Ovis aries (sheep)	Eukaryotes;Animals;Vertebrates;Mammals	9940	[]	[]
T07255	oda	Oryx dammah (scimitar-horned oryx)	Eukaryotes;Animals;Vertebrates;Mammals	59534	[]	[]
T07554	ccad	Cervus canadensis (wapiti)	Eukaryotes;Animals;Vertebrates;Mammals	1574408	[]	['NC_057386', 'NC_057387', 'NC_057388', 'NC_057389', 'NC_057390', 'NC_057391', 'NC_057392', 'NC_057393', 'NC_057394', 'NC_057395', 'NC_057396', 'NC_057397', 'NC_057398', 'NC_057399', 'NC_057400', 'NC_057401', 'NC_057402', 'NC_057403', 'NC_057404', 'NC_057405', 'NC_057406', 'NC_057407', 'NC_057408', 'NC_057409', 'NC_057410', 'NC_057411', 'NC_057412', 'NC_057413', 'NC_057414', 'NC_057415', 'NC_057416', 'NC_057417', 'NC_057418', 'NC_057419', 'NC_057420', 'NC_050863']
T01009	ssc	Sus scrofa (pig)	Eukaryotes;Animals;Vertebrates;Mammals	9823	[]	[]
T02979	cfr	Camelus ferus (Wild Bactrian camel)	Eukaryotes;Animals;Vertebrates;Mammals	419612	[]	[]
T07534	cbai	Camelus bactrianus (Bactrian camel)	Eukaryotes;Animals;Vertebrates;Mammals	9837	[]	[]
T04642	cdk	Camelus dromedarius (Arabian camel)	Eukaryotes;Animals;Vertebrates;Mammals	9838	[]	[]
T03086	bacu	Balaenoptera acutorostrata scammoni (minke whale)	Eukaryotes;Animals;Vertebrates;Mammals	310752	[]	[]
T03090	lve	Lipotes vexillifer (Yangtze River dolphin)	Eukaryotes;Animals;Vertebrates;Mammals	118797	[]	[]
T05247	oor	Orcinus orca (killer whale)	Eukaryotes;Animals;Vertebrates;Mammals	9733	[]	[]
T05885	dle	Delphinapterus leucas (beluga whale)	Eukaryotes;Animals;Vertebrates;Mammals	9749	[]	[]
T06011	pcad	Physeter catodon (sperm whale)	Eukaryotes;Animals;Vertebrates;Mammals	9755	[]	[]
T07759	psiu	Phocoena sinus (vaquita)	Eukaryotes;Animals;Vertebrates;Mammals	42100	[]	[]
T01058	ecb	Equus caballus (horse)	Eukaryotes;Animals;Vertebrates;Mammals	9796	[]	[]
T04644	epz	Equus przewalskii (Przewalski's horse)	Eukaryotes;Animals;Vertebrates;Mammals	9798	[]	[]
T04645	eai	Equus asinus (ass)	Eukaryotes;Animals;Vertebrates;Mammals	9793	[]	[]
T02920	myb	Myotis brandtii (Brandt's bat)	Eukaryotes;Animals;Vertebrates;Mammals	109478	[]	[]
T02992	myd	Myotis davidii	Eukaryotes;Animals;Vertebrates;Mammals	225400	[]	[]
T07220	mmyo	Myotis myotis	Eukaryotes;Animals;Vertebrates;Mammals	51298	[]	[]
T07795	mlf	Myotis lucifugus (little brown bat)	Eukaryotes;Animals;Vertebrates;Mammals	59463	[]	[]
T05883	mna	Miniopterus natalensis	Eukaryotes;Animals;Vertebrates;Mammals	291302	[]	[]
T07682	pkl	Pipistrellus kuhlii (Kuhl's pipistrelle)	Eukaryotes;Animals;Vertebrates;Mammals	59472	[]	[]
T04661	hai	Hipposideros armiger (great roundleaf bat)	Eukaryotes;Animals;Vertebrates;Mammals	186990	[]	[]
T05907	dro	Desmodus rotundus (common vampire bat)	Eukaryotes;Animals;Vertebrates;Mammals	9430	[]	[]
T07222	shon	Sturnira hondurensis	Eukaryotes;Animals;Vertebrates;Mammals	192404	[]	[]
T07223	ajm	Artibeus jamaicensis (Jamaican fruit-eating bat)	Eukaryotes;Animals;Vertebrates;Mammals	9417	[]	[]
T07739	pdic	Phyllostomus discolor (pale spear-nosed bat)	Eukaryotes;Animals;Vertebrates;Mammals	89673	[]	[]
T07912	phas	Phyllostomus hastatus (greater spear-nosed bat)	Eukaryotes;Animals;Vertebrates;Mammals	9423	[]	[]
T07221	mmf	Molossus molossus (Pallas's mastiff bat)	Eukaryotes;Animals;Vertebrates;Mammals	27622	[]	[]
T07722	rfq	Rhinolophus ferrumequinum (greater horseshoe bat)	Eukaryotes;Animals;Vertebrates;Mammals	59479	[]	[]
T02993	pale	Pteropus alecto (black flying fox)	Eukaryotes;Animals;Vertebrates;Mammals	9402	[]	[]
T07511	pgig	Pteropus giganteus (Indian flying fox)	Eukaryotes;Animals;Vertebrates;Mammals	143291	[]	[]
T07815	pvp	Pteropus vampyrus (large flying fox)	Eukaryotes;Animals;Vertebrates;Mammals	132908	[]	[]
T06036	ray	Rousettus aegyptiacus (Egyptian rousette)	Eukaryotes;Animals;Vertebrates;Mammals	9407	[]	[]
T06054	mjv	Manis javanica (Malayan pangolin)	Eukaryotes;Animals;Vertebrates;Mammals	9974	[]	[]
T07495	tod	Talpa occidentalis (Iberian mole)	Eukaryotes;Animals;Vertebrates;Mammals	50954	[]	[]
T07854	sara	Sorex araneus (European shrew)	Eukaryotes;Animals;Vertebrates;Mammals	42254	[]	[]
T04351	lav	Loxodonta africana (African savanna elephant)	Eukaryotes;Animals;Vertebrates;Mammals	9785	[]	[]
T05135	tmu	Trichechus manatus latirostris (Florida manatee)	Eukaryotes;Animals;Vertebrates;Mammals	127582	[]	[]
T07872	dnm	Dasypus novemcinctus (nine-banded armadillo)	Eukaryotes;Animals;Vertebrates;Mammals	9361	[]	[]
T01031	mdo	Monodelphis domestica (opossum)	Eukaryotes;Animals;Vertebrates;Mammals	13616	[]	[]
T07702	gas	Gracilinanus agilis (Agile Gracile Mouse Opossum)	Eukaryotes;Animals;Vertebrates;Mammals	191870	[]	[]
T02286	shr	Sarcophilus harrisii (Tasmanian devil)	Eukaryotes;Animals;Vertebrates;Mammals	9305	[]	[]
T05867	pcw	Phascolarctos cinereus (koala)	Eukaryotes;Animals;Vertebrates;Mammals	38626	[]	[]
T01045	oaa	Ornithorhynchus anatinus (platypus)	Eukaryotes;Animals;Vertebrates;Mammals	9258	[]	[]
T01006	gga	Gallus gallus (chicken)	Eukaryotes;Animals;Vertebrates;Birds	9031	[]	[]
T07365	pcoc	Phasianus colchicus (Ring-necked pheasant)	Eukaryotes;Animals;Vertebrates;Birds	9054	[]	[]
T01523	mgp	Meleagris gallopavo (turkey)	Eukaryotes;Animals;Vertebrates;Birds	9103	[]	[]
T04297	cjo	Coturnix japonica (Japanese quail)	Eukaryotes;Animals;Vertebrates;Birds	93934	[]	[]
T06015	nmel	Numida meleagris (helmeted guineafowl)	Eukaryotes;Animals;Vertebrates;Birds	8996	[]	[]
T02816	apla	Anas platyrhynchos (mallard)	Eukaryotes;Animals;Vertebrates;Birds	8839	[]	[]
T04896	acyg	Anser cygnoides domesticus (swan goose)	Eukaryotes;Animals;Vertebrates;Birds	381198	[]	[]
T07966	aful	Aythya fuligula (tufted duck)	Eukaryotes;Animals;Vertebrates;Birds	219594	[]	[]
T01082	tgu	Taeniopygia guttata (zebra finch)	Eukaryotes;Animals;Vertebrates;Birds	59729	[]	[]
T05897	lsr	Lonchura striata domestica (Bengalese finch)	Eukaryotes;Animals;Vertebrates;Birds	299123	[]	[]
T05755	scan	Serinus canaria (common canary)	Eukaryotes;Animals;Vertebrates;Birds	9135	[]	[]
T07277	pmoa	Passer montanus (Eurasian tree sparrow)	Eukaryotes;Animals;Vertebrates;Birds	9160	[]	[]
T07590	otc	Onychostruthus taczanowskii (white-rumped snowfinch)	Eukaryotes;Animals;Vertebrates;Birds	356909	[]	[]
T07608	pruf	Pyrgilauda ruficollis (rufous-necked snowfinch)	Eukaryotes;Animals;Vertebrates;Birds	221976	[]	[]
T03755	gfr	Geospiza fortis (medium ground-finch)	Eukaryotes;Animals;Vertebrates;Birds	48883	[]	[]
T02815	fab	Ficedula albicollis (collared flycatcher)	Eukaryotes;Animals;Vertebrates;Birds	59894	[]	[]
T02921	phi	Pseudopodoces humilis (Tibetan ground-tit)	Eukaryotes;Animals;Vertebrates;Birds	181119	[]	[]
T04864	pmaj	Parus major (Great Tit)	Eukaryotes;Animals;Vertebrates;Birds	9157	[]	[]
T05602	ccae	Cyanistes caeruleus (blue tit)	Eukaryotes;Animals;Vertebrates;Birds	156563	[]	[]
T03546	ccw	Corvus cornix (hooded crow)	Eukaryotes;Animals;Vertebrates;Birds	932674	[]	[]
T05887	etl	Empidonax traillii (willow flycatcher)	Eukaryotes;Animals;Vertebrates;Birds	164674	[]	[]
T07911	zab	Zonotrichia albicollis (white-throated sparrow)	Eukaryotes;Animals;Vertebrates;Birds	44394	[]	[]
T02856	fpg	Falco peregrinus (peregrine falcon)	Eukaryotes;Animals;Vertebrates;Birds	8954	[]	[]
T02911	fch	Falco cherrug (Saker falcon)	Eukaryotes;Animals;Vertebrates;Birds	345164	[]	[]
T02912	clv	Columba livia (rock pigeon)	Eukaryotes;Animals;Vertebrates;Birds	8932	[]	[]
T05152	egz	Egretta garzetta (little egret)	Eukaryotes;Animals;Vertebrates;Birds	188379	[]	[]
T05756	nni	Nipponia nippon (crested ibis)	Eukaryotes;Animals;Vertebrates;Birds	128390	[]	[]
T05777	acun	Athene cunicularia (burrowing owl)	Eukaryotes;Animals;Vertebrates;Birds	194338	[]	[]
T07816	tala	Tyto alba (Barn owl)	Eukaryotes;Animals;Vertebrates;Birds	56313	[]	[]
T06012	padl	Pygoscelis adeliae (Adelie penguin)	Eukaryotes;Animals;Vertebrates;Birds	9238	[]	[]
T08023	achc	Aquila chrysaetos chrysaetos	Eukaryotes;Animals;Vertebrates;Birds	223781	[]	[]
T04298	aam	Apteryx mantelli mantelli (brown kiwi)	Eukaryotes;Animals;Vertebrates;Birds	202946	[]	[]
T07573	arow	Apteryx rowi (Okarito brown kiwi)	Eukaryotes;Animals;Vertebrates;Birds	308060	[]	[]
T07556	npd	Nothoprocta perdicaria	Eukaryotes;Animals;Vertebrates;Birds	30464	[]	[]
T07572	dne	Dromaius novaehollandiae (emu)	Eukaryotes;Animals;Vertebrates;Birds	8790	[]	[]
T02922	asn	Alligator sinensis (Chinese alligator)	Eukaryotes;Animals;Vertebrates;Reptiles	38654	[]	[]
T03087	amj	Alligator mississippiensis (American alligator)	Eukaryotes;Animals;Vertebrates;Reptiles	8496	[]	[]
T07440	cpoo	Crocodylus porosus (Australian saltwater crocodile)	Eukaryotes;Animals;Vertebrates;Reptiles	8502	[]	[]
T07453	ggn	Gavialis gangeticus (Gharial)	Eukaryotes;Animals;Vertebrates;Reptiles	94835	[]	[]
T02980	pss	Pelodiscus sinensis (Chinese soft-shelled turtle)	Eukaryotes;Animals;Vertebrates;Reptiles	13735	[]	[]
T02989	cmy	Chelonia mydas (green sea turtle)	Eukaryotes;Animals;Vertebrates;Reptiles	8469	[]	[]
T04662	cpic	Chrysemys picta (western painted turtle)	Eukaryotes;Animals;Vertebrates;Reptiles	8478	[]	[]
T07347	tst	Trachemys scripta elegans	Eukaryotes;Animals;Vertebrates;Reptiles	31138	[]	[]
T07367	cabi	Chelonoidis abingdonii (Abingdon island giant tortoise)	Eukaryotes;Animals;Vertebrates;Reptiles	106734	[]	[]
T07797	mrv	Mauremys reevesii (Reeves's turtle)	Eukaryotes;Animals;Vertebrates;Reptiles	260615	[]	[]
T01608	acs	Anolis carolinensis (green anole)	Eukaryotes;Animals;Vertebrates;Reptiles	28377	[]	[]
T05000	pvt	Pogona vitticeps (central bearded dragon)	Eukaryotes;Animals;Vertebrates;Reptiles	103695	[]	[]
T07740	sund	Sceloporus undulatus (fence lizard)	Eukaryotes;Animals;Vertebrates;Reptiles	8520	[]	[]
T03091	pbi	Python bivittatus (Burmese python)	Eukaryotes;Animals;Vertebrates;Reptiles	176946	[]	[]
T05763	pmur	Protobothrops mucrosquamatus (Taiwan habu)	Eukaryotes;Animals;Vertebrates;Reptiles	103944	[]	[]
T06107	tsr	Thamnophis sirtalis	Eukaryotes;Animals;Vertebrates;Reptiles	35019	[]	[]
T07329	pgut	Pantherophis guttatus	Eukaryotes;Animals;Vertebrates;Reptiles	94885	[]	[]
T07701	vko	Varanus komodoensis (Komodo dragon)	Eukaryotes;Animals;Vertebrates;Reptiles	61221	[]	[]
T06059	pmua	Podarcis muralis (common wall lizard)	Eukaryotes;Animals;Vertebrates;Reptiles	64176	[]	[]
T07275	zvi	Zootoca vivipara (common lizard)	Eukaryotes;Animals;Vertebrates;Reptiles	8524	[]	[]
T04299	gja	Gekko japonicus	Eukaryotes;Animals;Vertebrates;Reptiles	146911	[]	[]
T01010	xla	Xenopus laevis (African clawed frog)	Eukaryotes;Animals;Vertebrates;Amphibians	8355	[]	[]
T01011	xtr	Xenopus tropicalis (tropical clawed frog)	Eukaryotes;Animals;Vertebrates;Amphibians	8364	[]	[]
T04897	npr	Nanorana parkeri	Eukaryotes;Animals;Vertebrates;Amphibians	125878	[]	[]
T07929	rtem	Rana temporaria (common frog)	Eukaryotes;Animals;Vertebrates;Amphibians	8407	[]	[]
T07950	bbuf	Bufo bufo (common toad)	Eukaryotes;Animals;Vertebrates;Amphibians	8384	[]	[]
T07965	bgar	Bufo gargarizans (Asiatic toad)	Eukaryotes;Animals;Vertebrates;Amphibians	30331	[]	[]
T01004	dre	Danio rerio (zebrafish)	Eukaryotes;Animals;Vertebrates;Fishes	7955	[]	[]
T04916	srx	Sinocyclocheilus rhinocerous	Eukaryotes;Animals;Vertebrates;Fishes	307959	[]	[]
T04917	sanh	Sinocyclocheilus anshuiensis	Eukaryotes;Animals;Vertebrates;Fishes	1608454	[]	[]
T04918	sgh	Sinocyclocheilus grahami	Eukaryotes;Animals;Vertebrates;Fishes	75366	[]	[]
T05134	ccar	Cyprinus carpio (common carp)	Eukaryotes;Animals;Vertebrates;Fishes	7962	[]	[]
T07313	caua	Carassius auratus (goldfish)	Eukaryotes;Animals;Vertebrates;Fishes	7957	[]	[]
T04658	ipu	Ictalurus punctatus (channel catfish)	Eukaryotes;Animals;Vertebrates;Fishes	7998	[]	[]
T05759	phyp	Pangasianodon hypophthalmus (striped catfish)	Eukaryotes;Animals;Vertebrates;Fishes	310915	[]	[]
T08004	smeo	Silurus meridionalis	Eukaryotes;Animals;Vertebrates;Fishes	175797	[]	[]
T05042	amex	Astyanax mexicanus (Mexican tetra)	Eukaryotes;Animals;Vertebrates;Fishes	7994	[]	[]
T05787	eee	Electrophorus electricus (electric eel)	Eukaryotes;Animals;Vertebrates;Fishes	8005	[]	[]
T02386	tru	Takifugu rubripes (torafugu)	Eukaryotes;Animals;Vertebrates;Fishes	31033	[]	[]
T04346	tng	Tetraodon nigroviridis (spotted green pufferfish)	Eukaryotes;Animals;Vertebrates;Fishes	99883	[]	[]
T04659	lco	Larimichthys crocea (large yellow croaker)	Eukaryotes;Animals;Vertebrates;Fishes	215358	[]	[]
T04920	ncc	Notothenia coriiceps (black rockcod)	Eukaryotes;Animals;Vertebrates;Fishes	8208	[]	[]
T07513	cgob	Cottoperca gobio	Eukaryotes;Animals;Vertebrates;Fishes	56716	[]	[]
T07331	ely	Epinephelus lanceolatus (giant grouper)	Eukaryotes;Animals;Vertebrates;Fishes	310571	[]	[]
T07454	plep	Plectropomus leopardus (leopard coralgrouper)	Eukaryotes;Animals;Vertebrates;Fishes	160734	[]	[]
T07345	sluc	Sander lucioperca (pikeperch)	Eukaryotes;Animals;Vertebrates;Fishes	283035	[]	[]
T07493	ecra	Etheostoma cragini (Arkansas darter)	Eukaryotes;Animals;Vertebrates;Fishes	417921	[]	[]
T07494	pflv	Perca flavescens (yellow perch)	Eukaryotes;Animals;Vertebrates;Fishes	8167	[]	[]
T07457	gat	Gasterosteus aculeatus (three-spined stickleback)	Eukaryotes;Animals;Vertebrates;Fishes	481459	[]	[]
T07626	ppug	Pungitius pungitius (ninespine stickleback)	Eukaryotes;Animals;Vertebrates;Fishes	134920	[]	[]
T07309	msam	Micropterus salmoides (largemouth bass)	Eukaryotes;Animals;Vertebrates;Fishes	27706	[]	[]
T07473	cud	Cheilinus undulatus (humphead wrasse)	Eukaryotes;Animals;Vertebrates;Fishes	241271	[]	[]
T02814	mze	Maylandia zebra (zebra mbuna)	Eukaryotes;Animals;Vertebrates;Fishes	106582	[]	[]
T06104	onl	Oreochromis niloticus (Nile tilapia)	Eukaryotes;Animals;Vertebrates;Fishes	8128	[]	[]
T07295	oau	Oreochromis aureus (blue tilapia)	Eukaryotes;Animals;Vertebrates;Fishes	47969	[]	[]
T02443	ola	Oryzias latipes (Japanese medaka)	Eukaryotes;Animals;Vertebrates;Fishes	8090	[]	[]
T07439	oml	Oryzias melastigma (Indian medaka)	Eukaryotes;Animals;Vertebrates;Fishes	30732	[]	[]
T02923	xma	Xiphophorus maculatus (southern platyfish)	Eukaryotes;Animals;Vertebrates;Fishes	8083	[]	[]
T05908	xco	Xiphophorus couchianus (Monterrey platyfish)	Eukaryotes;Animals;Vertebrates;Fishes	32473	[]	[]
T07363	xhe	Xiphophorus hellerii (green swordtail)	Eukaryotes;Animals;Vertebrates;Fishes	8084	[]	[]
T05149	pret	Poecilia reticulata (guppy)	Eukaryotes;Animals;Vertebrates;Fishes	8081	[]	[]
T07984	pfor	Poecilia formosa (Amazon molly)	Eukaryotes;Animals;Vertebrates;Fishes	48698	[]	[]
T08005	plai	Poecilia latipinna (sailfin molly)	Eukaryotes;Animals;Vertebrates;Fishes	48699	[]	[]
T08022	pmei	Poecilia mexicana (shortfin molly)	Eukaryotes;Animals;Vertebrates;Fishes	48701	[]	[]
T07758	gaf	Gambusia affinis (western mosquitofish)	Eukaryotes;Animals;Vertebrates;Fishes	33528	[]	[]
T06110	cvg	Cyprinodon variegatus (sheepshead minnow)	Eukaryotes;Animals;Vertebrates;Fishes	28743	[]	[]
T07496	ctul	Cyprinodon tularosa	Eukaryotes;Animals;Vertebrates;Fishes	77115	[]	[]
T05163	nfu	Nothobranchius furzeri (turquoise killifish)	Eukaryotes;Animals;Vertebrates;Fishes	105023	[]	[]
T05608	kmr	Kryptolebias marmoratus (mangrove rivulus)	Eukaryotes;Animals;Vertebrates;Fishes	37003	[]	[]
T06063	alim	Austrofundulus limnaeus (annual killifish)	Eukaryotes;Animals;Vertebrates;Fishes	52670	[]	[]
T06018	aoce	Amphiprion ocellaris (clown anemonefish)	Eukaryotes;Animals;Vertebrates;Fishes	80972	[]	[]
T04866	csem	Cynoglossus semilaevis (tongue sole)	Eukaryotes;Animals;Vertebrates;Fishes	244447	[]	[]
T06037	pov	Paralichthys olivaceus (Japanese flounder)	Eukaryotes;Animals;Vertebrates;Fishes	8255	[]	[]
T07721	ssen	Solea senegalensis (Senegalese sole)	Eukaryotes;Animals;Vertebrates;Fishes	28829	[]	[]
T07778	hhip	Hippoglossus hippoglossus (Atlantic halibut)	Eukaryotes;Animals;Vertebrates;Fishes	8267	[]	[]
T04895	lcf	Lates calcarifer (barramundi perch)	Eukaryotes;Animals;Vertebrates;Fishes	8187	[]	[]
T05606	sdu	Seriola dumerili (greater amberjack)	Eukaryotes;Animals;Vertebrates;Fishes	41447	[]	[]
T06058	slal	Seriola lalandi dorsalis (Yellowtail amberjack)	Eukaryotes;Animals;Vertebrates;Fishes	1841481	[]	[]
T07311	xgl	Xiphias gladius (swordfish)	Eukaryotes;Animals;Vertebrates;Fishes	8245	[]	[]
T04969	hcq	Hippocampus comes (tiger tail seahorse)	Eukaryotes;Animals;Vertebrates;Fishes	109280	[]	[]
T05002	bpec	Boleophthalmus pectinirostris (great blue-spotted mudskipper)	Eukaryotes;Animals;Vertebrates;Fishes	150288	[]	[]
T05607	malb	Monopterus albus (swamp eel)	Eukaryotes;Animals;Vertebrates;Fishes	43700	[]	[]
T04363	sasa	Salmo salar (Atlantic salmon)	Eukaryotes;Animals;Vertebrates;Fishes	8030	[]	[]
T05605	otw	Oncorhynchus tshawytscha (Chinook salmon)	Eukaryotes;Animals;Vertebrates;Fishes	74940	[]	[]
T07259	omy	Oncorhynchus mykiss (rainbow trout)	Eukaryotes;Animals;Vertebrates;Fishes	8022	[]	[]
T07892	ogo	Oncorhynchus gorbuscha (pink salmon)	Eukaryotes;Animals;Vertebrates;Fishes	8017	[]	[]
T07952	one	Oncorhynchus nerka (sockeye salmon)	Eukaryotes;Animals;Vertebrates;Fishes	8023	[]	[]
